Date,US_Interest_Rate,EU_Interest_Rate,US_Electricity_Price,Electricity_Price_Germany_EUR/MWh,Electricity_Price_Netherlands_EUR/MWh,Electricity_Price_Italy_EUR/MWh,Electricity_Price_UK_GBP/MWh,US_Crude_Oil_Price_USD/barrel,US_Natural_Gas_Price_USD/mBtu,US_Coal_Price_USD/mBtu,EU_Crude_Oil_Price,EU_Natural_Gas_Price,EU_Coal_Price,Sedg_mean_close,Enph_mean_close,Spwr_mean_close,Fslr_mean_close,Quarter,Revenue_sedg,Gross_profit_sedg,Gross_margin_sedg,Operating_income_sedg,Net_income_sedg
1.6.2021,0.08,-0.5,0.142,73.57109722222222,76.45863888888888,88.41669444444445,95.00323611111111,71.38,3.26,1.95,73.16,10.32413911,121.6998062133789,253.94408971613103,155.84272904829547,25.79818197,80.25136358087713,Q2 -21,480057,156192,0.33,55559,45092
1.7.2021,0.1,-0.5,0.143,81.76092741935483,82.58434139784946,104.95182795698925,143.41274193548387,72.49,3.84,2.01,75.17,12.5242466,121.6998062133789,256.5923839750744,178.5661889939081,25.705714271182107,86.93476213727679,Q3 -21,526404,172561,0.33,66414,53048
1.8.2021,0.09,-0.5,0.144,81.43838709677419,86.61919355,120.51764784946238,131.46729838709678,67.73,4.07,2.06,70.75,15.27902912,121.6998062133789,283.2918201793324,176.3840894,22.47954559326172,94.13500040227717,Q3 -21,526404,172561,0.33,66414,53048
1.9.2021,0.08,-0.5,0.144,129.66350347222223,136.4309027777778,157.75358333333332,195.4609861111111,71.65,5.16,2.01,74.49,22.23282724,121.6998062133789,276.2247605096726,159.5838092622303,22.016190483456565,97.42333330426898,Q3 -21,526404,172561,0.33,66414,53048
1.10.2021,0.08,-0.5,0.142,147.75464583333334,163.67312751677852,207.7530336,217.67573611111112,81.48,5.51,2.03,83.54,29.81414289,121.6998062133789,298.7380945114862,175.8480958484468,27.73714283534459,104.66285669235955,Q4 -21,551915,160491,0.29,41038,40954
1.11.2021,0.08,-0.5,0.142,176.12657291666667,186.24545833333335,222.3831388888889,204.54273611111108,79.15,5.05,2.04,81.05,27.38382608,121.6998062133789,352.9014267694382,247.76428440638952,31.176666713896253,110.7961901710147,Q4 -21,551915,160491,0.29,41038,40954
1.12.2021,0.08,-0.5,0.142,229.33445228494622,237.81209677419358,264.78043010752685,250.61284946236557,71.71,3.76,2.07,74.17,37.36336306,121.6998062133789,296.48045626553625,202.58227400346235,22.436818209561434,93.47636378895153,Q4 -21,551915,160491,0.29,41038,40954
1.1.2022,0.08,-0.5,0.147,167.56789650537635,189.1006317204301,217.28814516129032,201.19052419354838,83.22,4.38,2.2,86.51,27.89094479,293.6190411,241.48600158691406,141.79050064086914,18.563000011444093,81.10650024414062,Q1 -22,655080,178958,0.27,50864,33123
1.2.2022,0.08,-0.5,0.148,130.95545758928571,168.36791666666667,206.1496130952381,175.078125,91.64,4.69,2.17,97.13,26.98428134,293.6190411,256.32789692125823,145.90263045461555,16.225789371289704,70.91894691868832,Q1 -22,655080,178958,0.27,50864,33123
1.3.2022,0.2,-0.5,0.15,252.61020861372813,261.1786271870794,295.88117092866753,293.1956931359354,108.5,4.9,2.15,117.25,41.72768831,293.6190411,318.6152184527853,179.73217441724694,19.991739190143086,77.30478203814963,Q1 -22,655080,178958,0.27,50864,33123
1.4.2022,0.33,-0.5,0.151,171.36181597222225,195.2011111111111,237.96740277777778,222.32555555555555,101.78,6.59,2.18,104.58,31.9898743,293.6190411,289.03099822998047,183.72550048828126,20.202999877929688,77.04000053405761,Q2 -22,727774,182642,0.25,36012,15084
1.5.2022,0.77,-0.5,0.154,176.53441532258066,181.3684677419355,226.65740591397852,149.67835317460316,109.55,8.14,2.23,113.34,27.46416643,293.6190411,248.9190484909784,165.4585702078683,16.412857101077126,68.20761925833565,Q2 -22,727774,182642,0.25,36012,15084
1.6.2022,1.21,-0.5,0.16,217.96746180555556,210.55268055555555,266.0509861111111,179.13258620689655,114.84,7.7,2.32,122.71,32.91260722,293.6190411,283.2066657656715,193.28095209030877,17.538095292590913,68.58047576177688,Q2 -22,727774,182642,0.25,36012,15084
1.7.2022,1.68,-0.419354839,0.164,318.4156552419355,306.60413978494626,420.2204435483871,,101.62,7.28,2.47,111.93,51.14591252,293.6190411,290.96949768066406,215.21099853515625,16.84150004386902,72.77550086975097,Q3 -22,836723,222001,0.27,84407,24743
1.8.2022,2.33,0,0.167,461.39757728494624,447.0570967741935,539.8961559139785,432.53325,93.67,8.8,2.51,100.45,69.97723933,293.6190411,308.1908635678499,291.4647853685462,24.557391456935715,113.3934790569803,Q3 -22,836723,222001,0.27,84407,24743
1.9.2022,2.56,0.425,0.167,361.9228298611111,341.879125,419.6340416666667,283.49333333333334,84.26,7.88,2.51,89.76,55.1791274,293.6190411,284.2969055175781,297.82761928013394,25.60714294796898,133.07571447463263,Q3 -22,836723,222001,0.27,84407,24743
1.10.2022,3.08,0.75,0.166,157.7268590604027,155.40638926174495,210.3528053691275,138.661125,87.55,5.66,2.46,93.33,20.80663685,293.6190411,213.9480954124814,264.7628551664807,18.846190361749557,128.97952270507812,Q4 -22,890702,261047,0.29,-5163,20829
1.11.2022,3.78,1.475,0.163,172.17638888888888,179.19427777777778,211.79331944444445,142.86779166666668,84.37,5.45,2.48,91.42,28.79080462,293.6190411,273.4695260184152,301.4819059826079,21.526190258207777,159.06809561593192,Q4 -22,890702,261047,0.29,-5163,20829
1.12.2022,4.1,1.6774193548387097,0.165,250.6006317204301,258.88775537634405,268.6777419354839,276.68751344086024,76.44,5.53,2.65,80.92,35.36873121,293.6190411,308.65428379603793,306.59476143973217,21.08761905488514,156.46857198079428,Q4 -22,890702,261047,0.29,-5163,20829
1.1.2023,4.33,2,0.168,116.4108064516129,126.00881720430107,163.32194892473117,162.03495967741935,78.12,3.27,2.59,82.5,19.88618693,110.1642685,300.0505004882813,230.99650039672852,17.259999752044678,168.18900146484376,Q1 -23,943889,300126,0.32,144154,138378
1.2.2023,4.57,2.375,0.168,127.11872767857143,134.85044642857142,157.86002976190477,159.12563988095238,76.83,2.38,2.6,82.59,16.73725918,110.1642685,312.6505239386308,212.97579152960526,16.118421102824964,166.5689472,Q1 -23,943889,300126,0.32,144154,138378
1.3.2023,4.65,2.661290322580645,0.166,100.2056729475101,104.5572543741588,126.12004037685061,145.45605006954102,73.28,2.31,2.51,78.43,13.87044037,110.1642685,302.5960852581522,207.06260946522588,13.955217319986094,208.2926078464674,Q1 -23,943889,300126,0.32,144154,138378
1.4.2023,4.83,3,0.165,103.37644444444443,98.62273611111111,132.6931111111111,125.02505208333334,79.45,2.16,2.48,84.64,13.68398726,110.1642685,298.7784215023643,203.1568418803968,13.612631647210373,208.66789325914885,Q2 -23,991290,317305,0.32,150358,119510
1.5.2023,5.06,3.1774193548387095,0.165,82.45,77.94618279569892,102.30163978494623,105.64436781609194,71.58,2.15,2.51,75.47,9.970048913,110.1642685,290.9045479514382,162.89318084716797,10.910909175872803,195.2731829556552,Q2 -23,991290,317305,0.32,150358,119510
1.6.2023,5.08,3.3333333333333335,0.17,92.90913541666667,91.98175,105.07256944444444,117.10056944444445,70.25,2.18,2.47,74.84,10.2937317,110.1642685,271.5247606549944,173.04380943661644,10.71238105,191.47952561151413,Q2 -23,991290,317305,0.32,150358,119510
1.7.2023,5.12,3.5,0.169,78.82883064516129,71.79212365591397,113.03154569892473,96.26446236559138,76.07,2.55,2.49,80.11,9.611719136,110.1642685,261.9365005493164,173.5640007019043,10.22600007,196.36100082397462,Q3 -23,725305,142817,0.2,-16726,-61176
1.8.2023,5.33,3.7419354838709675,0.17,94.21454637096774,91.32751344086022,115.20728494623656,106.42345430107527,81.39,2.58,2.5,86.15,10.7174213,110.1642685,174.1713057808254,133.25130562160325,7.8652173332546065,190.62434785262397,Q3 -23,725305,142817,0.2,-16726,-61176
1.9.2023,5.33,3.841666666666667,0.171,100.91478472222222,98.69244444444445,114.95301388888889,111.64219444444446,89.43,2.64,2.53,93.72,11.42793016,110.1642685,142.09899787902833,121.91299972534179,6.6864999532699585,172.13949966430664,Q3 -23,725305,142817,0.2,-16726,-61176
1.10.2023,5.33,4,0.169,86.88293959731544,90.24420134228187,134.06344966442953,125.03945833333334,85.64,2.98,2.54,90.6,13.38884281,110.1642685,106.91363629427823,110.13090931285511,5.184545430270108,149.74863641912287,Q4 -23,,,,,
1.11.2023,5.33,4,0.168,90.58795486111111,94.40691666666666,118.97073611111111,122.89645833333333,77.69,2.71,2.53,82.94,13.71431567,110.1642685,76.02047620500836,88.87190464564732,4.223809526080177,149.41666594005767,Q4 -23,,,,,
1.12.2023,5.33,4,0.169,69.91827956989246,73.18842741935484,114.9299059139785,89.06529569892473,71.9,2.52,2.53,77.63,11.29629149,110.1642685,89.32600059509278,119.62800025939941,4.898499941825866,160.15349884033202,Q4 -23,,,,,
1.1.2024,5.33,4,0.17,75.77701276881722,78.36375,98.39868279569892,99.52030555555555,76.5,2.74,2.53,80.12,12.43948425,110.1642685,74.69809541,111.68380991617839,3.5161905061630976,155.73904782249815,Q1-24,,,,,
1.2.2024,5.33,4,0.171,54.91540364583333,62.00494791666667,94.6659375,82.25005952380953,78.5,2.6,2.52,81.12,12.43948425,110.1642685,68.63499832,103.60000228881836,3.565000057220459,144.8550033569336,Q2-24,,,,,
